Preferred Label;Synonyms;Definitions
spinal cord oligodendroglioma;Oligodendroglioma of spinal cord disorder|Well differentiated Spinal Cord Oligodendroglioma;
spinal cord primitive neuroectodermal neoplasm;Spinal Cord PNET;
spinal cord sarcoma;sarcoma of the Spinal Cord;
spinal cord secondary cancer;metastatic tumor to the Spinal Cord|secondary malignant neoplasm of spinal cord disorder;
spinal disease;;
spinal enthesopathy;Spinal enthesopathy disorder;
spinal meninges cancer;malignant neoplasm of spinal meninges disorder|malignant neoplasm of spinal meninges NOS disorder;
spinal meningioma;Spinal Cord meningioma|Spinal meningioma disorder;
spinal multifocal clear cell meningioma;Multifocal Clear cell meningioma of Spine;
spinal muscular atrophy;;A motor neuron disease that is a degenerative neuromuscular disease characterized by lower motor neuron degeneration associated with progressive muscle weakness and atrophy.
spinal polio;;A paralytic poliomyelitis that results_in destruction located_in motor neurons of spinal cord, has_material_basis_in Human poliovirus 1, has_material_basis_in Human poliovirus 2, or has_material_basis_in Human poliovirus 3, which are transmitted_by ingestion of food or water contaminated with feces, or transmitted_by direct contact with the oral secretions. The infection has_symptom difficulty breathing, and has_symptom paralysis of arms and legs.
spinal stenosis;Spinal stenosis of lumbar region|lumbar spinal stenosis|cervical spinal stenosis;A bone deterioration disease that has_material_basis_in bony spurs, disc degeneration, or thickened ligaments which results_in narrowing located_in spinal cord.
spinal vascular disorder;;
spindle cell cancer;malignant spindle cell tumor|malignant tumor, fusiform cell type morphologic abnormality;A sarcoma that is located_in the skin or located_in tissues that line or cover internal organs and that contains long spindle-shaped cells.
spindle cell carcinoma;sarcomatoid carcinoma|spindle cell carcinoma morphologic abnormality;A squamous cell carcinoma that is usually composed of the squamous cell type and results in fusiform development of rapidly proliferating cells.
spindle cell hemangioma;SCH;
spindle cell intraocular melanoma;Uveal spindle cell melanoma;An ocular malanoma that derives_from melanocytes in the uveal tract that results_in_formation_of spindle-shaped cells.
spindle cell lipoma;spindle cell Lipoma|spindle cell lipoma disorder|spindle cell lipoma morphologic abnormality;A lipoma that is an asymptomatic, slow-growing subcutaneous tumor that has a predilection for the posterior back, neck, and shoulders of older men.
spindle cell liposarcoma;;
spindle cell rhabdomyosarcoma;spindle cell rhabdomyosarcoma morphologic abnormality|spindle cell rhabdomyosarcoma disorder;
spindle cell sarcoma;;A sarcoma that results_in cells that are spindle-shaped. They are usually resistant to radiation therapy.
spindle cell synovial sarcoma;Synovial sarcoma, monophasic fibrous|Synovial sarcoma with spindle cell Components;
spindle cell thymoma;Medullary Thymoma|Thymoma, medullary;
spindle cell variant squamous cell breast carcinoma;;
spindle epithelial tumor with thymus-like differentiation tumor;SETTLE tumor;A thyroid carcinoma that has_material_basis_in compact bundles of long spindle epithelial cells that merge with tubulopapillary structures and/or mucinous glands.
spinocerebellar ataxia type ;;
spinocerebellar ataxia type  with axonal neuropathy;autosomal recessive spinocerebellar ataxia with axonal neuropathy|SCAN1;A nervous system disease characterized by autosomal recessive inheritance of spinocerebellar ataxia and peripheral neuropathy that has_material_basis_in homozygosity for a mutation in the TDP1 gene on chromosome 14q32.11. 
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type /;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;An autosomal dominant cerebellar ataxia that is characterized by the early-onset of cerebellar signs and eye movement abnormalities with a very slow disease progression, and has material basis in mutation in the SPTBN2 gene.
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spinocerebellar ataxia type ;;
spiradenoma;Eccrine spiradenoma of skin|Eccrine spiradenoma morphologic abnormality|benign eccrine spiradenoma;
Spirochaetaceae infectious disease;;
Spirurida infectious disease;filarial infectious disease and dracontiasis;A Chromadorea infectious disease that involves infection by parasitic nematodes of the order Spirurida.
Spitz nevus;desmoplastic nevus of skin disorder|desmoplastic nevus|Epithelioid and spindle-cell nevus;
spleen angiosarcoma;Splenic hemangiosarcoma|angiosarcoma of spleen disorder;An angiosarcoma and hemangioma of intra-abdominal structure and malignant soft tissue neoplasm of the spleen that results_in a nonhematolymphoid malignant neoplasm of the spleen.
spleen cancer;malignant Splenic tumor|Splenic neoplasm|spleen neoplasm|malignant tumour of spleen;A lymphatic system cancer that affects white blood cells and involves tumor deposits in the spleen.
spleen mast cell malignancy;Mast cell malignancy of spleen disorder|malignant mast cell tumors involving spleen;
splenic abscess;;
splenic artery aneurysm;;
splenic disease;Dyssplenism|Spleen disease;
splenic flexure cancer;Ca splenic flexure - colon|malignant tumor of splenic flexure disorder|Ca splenic flexure - colon disorder|malignant neoplasm of splenic flexure;
splenic infarction;Splenic infarction|Splenic infarction disorder|Splenic infarct;
splenic manifestation of hairy cell leukemia;hairy cell leukemia of spleen;
splenic manifestation of leukemia;splenic leukemia;A leukemia that is located_in the spleen. It results_in an enlargement of the leukemia.
splenic manifestation of prolymphocytic leukemia;;
splenic marginal zone lymphoma;;A marginal zone B-cell lymphocyte located_in the spleen comprised of B-cells in place of white pulp.
splenic sequestration;;
splenic tuberculosis;;An abdominal tuberculosis that results_in formation of granulomas or abscesses located_in spleen.
split hand-foot malformation;lobster-claw deformity|split-hand deformity;A bone development disease characterized by malformation of the central rays of the autopod and presenting with syndactyly, median clefts of the hands and feet, and aplasia and/or hypoplasia of the phalanges, metacarpals, and metatarsals. Some patients also have mental retardation, ectodermal and craniofacial findings, and orofacial clefting.
split hand-foot malformation ;SHFM1|SHFD1;A split-hand/foot malformation that has_material_basis_in contiguous gene mutations caused by deletion, duplication, or rearrangement of chromosome 7q21.3 involving the DSS1, DLX5, and DLX6 genes and possible regulatory elements in the region.
split hand-foot malformation  with sensorineural hearing loss;congenital deafness with split hands and feet|SHFM1D;A split-hand/foot malformation characterized by split-hand/foot malformation and sensorineural hearing impairment that has_material_basis_in homozygous mutation in the DLX5 gene on chromosome 7q21.
split hand-foot malformation ;SHFM2;A split-hand/foot malformation that has_material_basis_in variation in the chromosome region Xq26.
split hand-foot malformation ;SHFM3|distal limb deficiencies with micrognathia|chromosome 10q24 duplication syndrome;A split-hand/foot malformation that has_material_basis_in a contiguous gene duplication syndrome on chromosome 10q24
split hand-foot malformation ;SHFM4;A split-hand/foot malformation that has_material_basis_in heterozygous mutation in the TP63 on chromosome 3q28.
split hand-foot malformation ;SHFM5;A split-hand/foot malformation that has_material_basis_in deletions in the chromosome region 2q31.
split hand-foot malformation ;SHFM6;A split-hand/foot malformation that has_material_basis_in homozygous mutation in the WNT10B gene on chromosome 12q13.
SPOAN syndrome;spastic paraplegia, optic atropy, and neuropathy syndrome|spastic paraplegia, optic atropy, and neuropathy;A neurodegenerative disease characterized by spastic paraplegia, axonal neuropathy, dysarthria, acoustic startle, and congenital optical atrophy. It has material basis in homozygous mutation in the KLC2 gene on chromosome 11q13.2.
spondylitis;;
spondyloarthropathy;spondarthropathy|spondylarthrosis;
spondylocarpotarsal synostosis syndrome;SCT|spondylocarpotarsal synostosis|congenital scoliosis with unilateral unsegmented bar |congenital synspondylism|spondylocarpotarsal syndrome|vertebral fusion with carpal coalition;A bone development disease characterized by postnatal progressive vertebral fusions frequently manifesting as block vertebrae, contributing to an undersized trunk and a disproportionate short stature, scoliosis, lordosis, carpal and tarsal synostosis, with club feet and a mild facial dysmorphism that has_material_basis_in mutation in the FLNB gene on chromosome 3p14.3.
spondylocostal dysostosis;Jarcho-Levin syndrome|spondylothoracic dysplasia|spondylothoracic dysostosis|spondylocostal dysostosis, autosomal recessive 3 ;A dysostosis that results_in abnormal development located_in vertebrae or located_in ribs. The bones of the spine do not develop properly, which causes them to be misshapen and abnormally joined together.|Xref MGI.
spondylocostal dysostosis;;DOID:0050568
spondyloepimetaphyseal dysplasia;;An osteochondrodysplasia that results_in abnormalities of bone growth located_in vertebral column, located_in epiphysis, located_in metaphysis.
spondyloepimetaphyseal dysplasia, Missouri type;;A spondyloepimetaphyseal dysplasia that has_material_basis_in mutations in the MMP13 gene which results_in a pear-shaped vertebrae, abnormal metaphyseal changes, and genu varum deformities.|OMIM mapping confirmed by DO. [SN].
spondyloepimetaphyseal dysplasia, Pakistani type;spondyloepimetaphyseal dysplasia Pakistani type;A spondyloepimetaphyseal dysplasia that is characterized by short stature, short and bowed lower limbs, mild brachydactyly, kyphoscoliosis, abnormal gait, enlarged knee joints, precocious osteoarthropathy, and normal intelligence.
spondyloepimetaphyseal dysplasia, Sponastrime type;Spondylar and nasal Alterations-Striated Metaphyses syndrome|sponastrime dysplasia;A spondyloepimetaphyseal dysplasia that is characterized by spondylar and nasal changes, with striations of the metaphyses that has_material_basis_in autosomal recessive inheritance.
spondyloepimetaphyseal dysplasia, Strudwick type;;A spondyloepimetaphyseal dysplasia that has_material_basis_in mutations in the COL2A1 gene which results_in short stature and multiple skeletal abnormalities (lordosis, scoliosis, flattened vertebrae, pectus carinatum, coxa vara, clubfoot, and abnormal epiphyses or metaphyses).|OMIM mapping confirmed by DO. [SN].
