Preferred Label;Synonyms
pars distalis of adenohypophysis;pars anterior|DHP|pars distalis adenohypophysis|pars distalis (glandula pituitaria)|pars glandularis of adenohypophysis|pars anterior of adenohypophysis|pars distalis of anterior lobe of pituitary gland|distal part of hypophysis|pars distalis lobi anterioris hypophyseos|pars glandularis|pars distalis|pars distalis (hypophysis)|pars distalis adenohypophyseos|distal part of the hypophysis|anterior lobe
descending limb of loop of Henle;descending limb|descending limb of Henle's loop|loop of Henle descending limb
brain;suprasegmental structures|encephalon|suprasegmental levels of nervous system|synganglion|the brain
detection of mechanical stimulus involved in sensory perception of gravity;
upper arm mesenchyme;
vertebral column;spine|backbone|vertebral column skeleton|dorsal spine|columna vertebralis|vertebral region|spinal column
fasciculus of spinal cord;spinal cord fasciculus
oxyphil cell of parathyroid gland;
type EC2 enteroendocrine cell;Mo enteroendocrine cell
retinal ganglion cell;ganglion cell of retina|RGC|gangliocyte
cranial somatomotor neuron;
olfactory bulb external plexiform layer;external plexiform layer|olfactory bulb main external plexiform layer|external plexiform layer of the olfactory bulb|OB outer plexiform layer|EPL
epithelium of esophagus;epithelial tissue of esophagus|epithelial tissue of oesophagus|esophagus epithelial tissue|epithelium of gullet|esophageal epithelium|gullet epithelium|esophagus epithelium|oesophagus epithelial tissue|epithelium of oesophagus|gullet epithelial tissue|epithelial tissue of gullet|oesophagus epithelium
nonkeratinized epithelial cell of inferior part of anal canal;
eccrine sweat gland;glandula sudorifera eccrina|glandula sudorifera merocrina|eccrine gland|merocrine sweat gland
obsolete mortal cell line cell;finite cell line cell|primary cell line cell
obsolete mortal cell line cell;TRUE
hippocampal neuron;
cell cluster;
bodily fluid;fluid|body fluid
uninucleate macroconidium;
aminoglycan metabolic process;
thymus corticomedullary boundary;thymus cortico-medullary boundary|thymus corticomedullary junction|thymic cortico-medullary boundary|thymus CMZ|thymic corticomedullary boundary|thymic corticomedullary zone|thymus corticomedullary zone|thymic corticomedullary junction
ecto-epithelium;ectoderm-derived epithelium
paired limb/fin bud mesenchyme;
pectoral appendage apical ectodermal ridge;AER forelimb|apical ectodermal ridge forelimb|wing AER|upper limb bud apical ectodermal ridge|apical ectodermal ridge pectoral fin bud|wing apical ectodermal ridge|apical fold pectoral fin|apical ectodermal ridge pectoral fin|aer pectoral fin
gamma-aminobutyric acid secretion;
obsolete meristematic cell;
portal triad;trias hepatica|trias hepatica
neck of organ;organ neck
CD27-low, CD11b-high natural killer cell;
lower limb segment;free lower limb subdivision|subdivision of free lower limb|segment of free lower limb|free lower limb segment
C-C chemokine receptor type 5;chemokine receptor CCR5|MIP-1 alpha receptor|CD195|CCR5|C-C CKR-5|CCR-5|CHEMR13|HIV-1 fusion coreceptor|CC-CKR-5|CMKBR5
follicle cell;ovarian follicle cell
middle ear;auris media
polychromatophilic cytoplasm;
musculature of hip;set of muscles of hip|hip musculature|muscle group of hip
enteric nervous system;PNS - enteric|enteric PNS
external female genitalia;female external genitalia|external female genital organ|external genitalia of female reproductive system|organa genitalia feminina externa
amnion;amnios
ADP-ribosyl cyclase 1;CD38|cyclic ADP-ribose hydrolase 1|cADPr hydrolase 1|I-19|T10|NIM-R5 antigen
cerebral cortex GABAergic interneuron;
glomerular mesangial cell;intraglomerular mesangial cell
tracheobronchial tree;arbor tracheobronchialis|tracheobronchial system
interneuromast cell;
domed;
Didelphinae;
obsolete plant basal cell;
cerebellar granule cell;
neutrophilic myelocyte;
trophectodermal cell;trophectoderm cell
respiratory system muscle;muscle organ of respiratory system|respiratory system muscle organ|muscle organ of apparatus respiratorius|apparatus respiratorius muscle organ
Boreoeutheria;Boreotheria
vein;venous subtree|venous vessel|venous tree organ part|venae|vena|vascular element
ganglion of peripheral nervous system;peripheral nervous system ganglion
ectomeninx;future dura mater
loose mesenchyme tissue;
paraganglia type 2 cell;
intersomitic vessel;intersegmental vessel|intersomitic blood vessel|segmental vessel|intersomitic vessels|intersegmental vessels
cranial neural crest;CNC|head NCC population|cephalic neural crest|cranial NCC population|head neural crest|crista neuralis cranialis|head crest
follicle stem cell;
wall of ureter;ureteral wall
eccrine cell;
metanephros cortex;
non-lymphatic part of lymphoid system;non-lymphatic lymphoid system
anterior lateral line ganglion;anterior lateral line ganglia
regulation of programmed cell death;
submucosa of pylorus;submucosa of pyloric part of stomach|stomach pyloric region submucosa|pyloric part of stomach submucosa|pyloric submucosa|pylorus submucosa|submucosa of stomach pyloric region
lateral line nerve;lateral line nerves
central memory CD8-positive, alpha-beta T cell;central memory CD8+ T cell|central CD8-positive, alpha-beta memory T-cell|central memory CD8-positive, alpha-beta T lymphocyte|central CD8-positive, alpha-beta memory T lymphocyte|central memory CD8-positive, alpha-beta T-cell|central CD8-positive, alpha-beta memory T cell|central CD8-positive, alpha-beta memory T-lymphocyte|central memory CD8-positive, alpha-beta T-lymphocyte
steroid hormone secreting cell;
multinucleated giant cell;multinucleate giant cell|Langerhans giant cell|syncytial giant cell|macrophage polykaryon|foreign body giant cell
interleukin-1 production;
T cell mediated cytotoxicity;
erythrocyte differentiation;
heparin biosynthetic process;
positive regulation of T-helper 2 cell differentiation;
negative regulation of cellular process;
type N enteroendocrine cell;N cell
presumptive retinal pigmented epithelium;future retinal pigmented epithelium|presumptive pigmented epithelia|optic cup outer layer|outer layer optic cup|future RPE|future pigmented layer|future pigmented retinal epithelium|future PRE|presumptive pigmented epithelium
posterior segment of eyeball;eye posterior segment|posterior eye segment|segmentum posterius (bulbus oculi)|posterior segment eye|posterior segment of eye|posterior segment of the eye|segmentum posterius bulbi oculi
vasculature of muscle organ;muscular organ vasculature
bilaminar disc;germinal disk|germinal disc|embryonic shield|embryonic disc|bilaminary germ disc|bilaminary embryonic disc|bilaminar disk
submocosal esophageal gland;glandulae oesophageae|esophageal gland|mucous gland of submucosa of esophagus
Tetraodontidae;puffer fishes|puffers
experimentally modified cell in vitro;
ovarian surface epithelial cell;
1st arch mandibular mesenchyme;mesenchymal region of mandibular component of first pharyngeal arch|mesenchyme of mandibular component|mandibular component mesenchyme|mandibular mesenchyme
peripheral nervous system;PNS|systema nervosum periphericum|pars peripherica
nodal myocyte;pacemaker cell|cardiac pacemaker cell|P cell|myocytus nodalis
embryonic structure;developing embryonic structure|embryonic anatomical structure|developing structure|embryonic structures|embryonale Struktur
CD1a-positive dermal dendritic cell;CD1a+ dermal DC
magnocellular neurosecretory cell;
reticular layer of dermis;stratum reticulare dermis|dermis reticular layer|stratum reticulare|dermis stratum reticulare|reticular dermis|dermal reticular layer|stratum reticulare
pre-B-II cell;pre-B-lymphocyte|pre-BII cell
seminiferous tubule of testis;seminiferous cord|testis - seminiferous tubule|tubuli seminiferi|seminiferous tubule|tubuli seminiferi
regulation of organ morphogenesis;
myocardial endocrine cell of septal division of left branch of atrioventricular bundle;
brainstem nucleus;brain stem nucleus
stroma of pancreas;pancreatic stroma
lobule of mammary gland;lobule of mammary gland|mammary acinus|lactiferous acinus|acinus of mammary gland|lactiferous lobule|lactiferous gland lobule|lobule of lactiferous gland|mammary gland lobule
lymphocyte;
ciliated cell of the bronchus;
acrosome assembly;
uterine cervix squamous cell;uterine cervix squamous epithelial cells|cervix squamous cell|uterine cervix squamous epithelial cell|cervix, uterine squamous epithelial cells|cervix squamous epithelial cell
CD8-alpha alpha positive, gamma-delta intraepithelial T cell;intraepithelial lymphocyte|IEL|CD8-positive, gamma-delta intraepithelial T-lymphocyte|CD8-positive, gamma-delta intraepithelial T-cell|CD8-positive, gamma-delta intraepithelial T lymphocyte
secretion of endocrine pancreas;endocrine pancreas secretion|pars endocrina pancreatis secretion|pancreatic endocrine secretion|secretion of pars endocrina pancreatis
chromaffin system;chromaffin tissue|argentaffin system
Dinosauria;
CD8-positive, CXCR3-positive, alpha-beta regulatory T cell;CD8+CXCR3+ T cell|CD8-positive, CXCR3-positive, alpha-beta regulatory T-lymphocyte|CD8+CXCR3+ Treg|CD8-positive, CXCR3-positive, alpha-beta regulatory T-cell|CD8+CXCR3+ T-cell|CD8+CXCR3+ T(reg)|CD8-positive, CXCR3-positive, alpha-beta regulatory T lymphocyte|CD8+CXCR3+ T-lymphocyte |CD8-positive, CXCR3-positive, T(reg)|CD8-positive, CXCR3-positive, Treg|CD8+CXCR3+ T lymphocyte
skeletal muscle satellite stem cell;
membrane-bounded organelle;
humerus;humerus bone|humeri|mesomere 1 of pectoral appendage|proximal metapterygial mesomere of pectoral fin|proximal metapterygial mesomere of pectoral appendage
epithelium of crypt of Lieberkuhn of large intestine;
acetate ester transport;
obsolete retina retinal ganglion cell;
vegetative cell (sensu Fungi);yeast-form
neck of bone element;bone neck|neck of bone
odontogenesis;
obsolete epithem cell;
detection of chemical stimulus;
mesenchyme of hindgut;hindgut associated mesenchyme
amide biosynthetic process;
chromosomal part;
cyanophore;blue chromatophore
ectoderm of footplate;
cortex of kidney;cortex renalis|renal cortex|kidney cortex
Chondrichthyes;cartilaginous fishes|fishes|fish|cartilaginous fishes
Bythitoidei;
obsolete idioblast;
cranial suture;suture|sutura|suture of cranium|cranium suture|suture joint of skull
Ly49D-positive natural killer cell;NK.49D+.Sp
nasal cavity respiratory epithelium;
obsolete prestalk 0 cell;
cytotoxic T cell;cytotoxic T lymphocyte|cytotoxic T-cell|cytotoxic T-lymphocyte
adaxial cell;
pelvic appendage;posterior appendage|pelvic appendage|hindlimb/pelvic fin|posterior paired appendage|pelvic limb/fin|posterior limb/fin
mature microglial cell;activated microglia|reactive microglia|mature microglia
organic hydroxy compound;
stomach neuroendocrine cell;
organ cavity;cavity of organ
acinus of exocrine gland;exocrine gland acinus
thyroid gland medulla;medulla of thyroid gland follicle|thyroid medulla|thyroid gland follicle medulla|thyroid follicle medulla|medulla of thyroid gland|medulla of thyroid follicle|medulla of thyroid
colonic epithelium;large bowel epithelial tissue|large bowel epithelium|epithelial tissue of large bowel|colon epithelial tissue|epithelium of large bowel|epithelium of colon|epithelial tissue of colon|colon epithelium|posterior intestine epithelium
pelvic appendage apical ectodermal ridge;apical ectodermal ridge hind limb|apical ectodermal ridge hindlimb|lower lmb bud apical ectodermal ridge|AER hindlimb|apical ectodermal ridge pelvic fin bud|leg AER
antimicrobial peptide production;
renal parenchyma;parenchyma of kidney|kidney parenchyma
intermediate muscle cell;
aminoglycan biosynthetic process;
oxygen molecular entity;
dermomyotome;dermomyotomes|dermamyotome
endo-epithelial cell of pharyngotympanic part of viscerocranial mucosa;
Pan paniscus;bonobo|pygmy chimpanzee
lymph node secondary follicle;
blood vessel elastic tissue;elastic lamina|elastic laminae|elastic connective tissue of blood vessel|vascular elastic tissue|elastic tissue of blood vessel|vascular elastic laminae|vascular elastic lamina|textus connectivus elasticus of blood vessel|blood vessel elastic connective tissue|blood vessel textus connectivus elasticus
R5 photoreceptor cell;R5 cell
cytoplasmic vesicle membrane;
Archosauria;
interleukin-22 production;
follicular dendritic cell;
neutrophillic cytoplasm;
